id,longitude,latitude,year,month,beat,precinct
169,-122.323401481,47.61407001,2014,10,E3,E
170,-122.374104811,47.69425211,2014,10,J1,N
171,-122.330807498,47.60046424,2014,10,K3,W
172,-122.313870255,47.52644123,2014,10,F3,SW
173,-122.340242172,47.61201358,2014,10,M1,W
174,-122.334817764,47.61236844,2014,10,M2,W
175,-122.334817764,47.61236844,2014,10,M2,W
176,-122.302946658,47.58365857,2014,10,R1,S
178,-122.347286348,47.47309086,2014,10,UNKNOWN,UNKNOWN
179,-122.341542597,47.61278241,2014,10,M2,W
180,-122.344996828,47.72503555,2014,10,N2,N
181,-122.32169565,47.59834608,2014,10,K3,W
182,-122.32169565,47.59834608,2014,10,K3,W
183,-122.339358065,47.60978173,2014,10,M3,W
184,-122.33118351,47.6766011,2014,10,J3,N
185,-122.320863689,47.61932364,2014,10,E1,E
186,-122.35531273,47.69190785,2014,10,J1,N
187,-122.3289131,47.61346582,2014,10,E3,E
188,-122.337792916,47.60974973,2014,10,M3,W
189,-122.361297662,47.5360414,2014,10,F1,SW
190,-122.361297662,47.5360414,2014,10,F1,SW
191,-122.316260113,47.52559586,2014,10,F3,SW
192,-122.316779948,47.60864269,2014,10,E2,E
193,-122.344552055,47.69309925,2014,10,N3,N
194,-122.344552055,47.69309925,2014,10,N3,N
195,-122.344552055,47.69309925,2014,10,N3,N
196,-122.344552055,47.69309925,2014,10,N3,N
197,-122.327680646,47.59665538,2014,10,K3,W
198,-122.336785298,47.57271319,2014,10,O1,S
199,-122.330510332,47.60188591,2014,10,K3,W
200,-122.320771381,47.61351951,2014,10,E2,E
201,-122.320771381,47.61351951,2014,10,E2,E
202,-122.330510332,47.60188591,2014,10,K2,W
203,-122.340467726,47.6093176,2014,10,M1,W
204,-122.313958525,47.6141184,2014,10,C1,E
205,-122.313958525,47.6141184,2014,10,C1,E
206,-122.303870386,47.59305764,2014,10,G3,E
207,-122.331214864,47.60087849,2014,10,K2,W
208,-122.320771381,47.61351951,2014,10,E2,E
209,-122.318168851,47.6158384,2014,10,E2,E
210,-122.340933351,47.61828692,2014,10,D2,W
211,-122.341752608,47.61173309,2014,10,M1,W
212,-122.344706409,47.70579857,2014,10,N3,N
213,-122.31921545,47.59582498,2014,10,R1,S
214,-122.31921545,47.59582498,2014,10,R1,S
215,-122.269986042,47.52330727,2014,10,S3,S
216,-122.338348306,47.60951744,2014,10,M3,W
217,-122.342182554,47.61140066,2014,10,M1,W
218,-122.376804381,47.6915193,2014,10,J1,N
219,-122.344562699,47.61222186,2014,10,D1,W
220,-122.337792916,47.60974973,2014,10,M3,W
221,-122.338146747,47.61097516,2014,10,M2,W
222,-122.338348306,47.60951744,2014,10,M3,W
223,-122.339358065,47.60978173,2014,10,M3,W
224,-122.334019081,47.6056239,2014,10,K1,W
225,-122.342163009,47.60817175,2014,10,M1,W
226,-122.313129663,47.66126937,2014,10,U2,N
227,-122.325974779,47.58617472,2014,10,O1,S
228,-122.323543055,47.6050729,2014,10,G1,E
229,-122.339358065,47.60978173,2014,10,M3,W
230,-122.338348304,47.60951744,2014,10,M3,W
231,-122.366530196,47.52828076,2014,10,F2,SW
232,-122.328966299,47.59961646,2014,10,K3,W
233,-122.325080442,47.66316317,2014,10,B3,N
234,-122.325080442,47.66316317,2014,10,B3,N
235,-122.325080442,47.66316317,2014,10,B3,N
236,-122.331124146,47.60171758,2014,10,K2,W
237,-122.331124146,47.60171758,2014,10,K2,W
238,-122.376804381,47.6915193,2014,10,J1,N
239,-122.376804381,47.6915193,2014,10,J1,N
240,-122.337320423,47.61132124,2014,10,M2,W
241,-122.344896093,47.71717447,2014,10,N2,N
242,-122.344896093,47.71717447,2014,10,N2,N
243,-122.348582801,47.69274946,2014,10,N3,N
244,-122.338348304,47.60951744,2014,10,M3,W
245,-122.337238169,47.60998189,2014,10,M3,W
246,-122.294172445,47.57508792,2014,10,R2,S
247,-122.326186424,47.61521476,2014,10,E1,E
248,-122.3415426,47.61278241,2014,10,M2,W
249,-122.341132728,47.61004447,2014,10,M1,W
250,-122.390464153,47.66814393,2014,10,B1,N
251,-122.390464153,47.66814393,2014,10,B1,N
252,-122.390464153,47.66814393,2014,10,B1,N
253,-122.390464153,47.66814393,2014,10,B1,N
254,-122.320915228,47.6225585,2014,10,E1,E
255,-122.320915228,47.6225585,2014,10,E1,E
256,-122.385579856,47.66814081,2014,10,B1,N
257,-122.320915228,47.6225585,2014,10,E1,E
258,-122.340892454,47.61239802,2014,10,M2,W
259,-122.340467726,47.6093176,2014,10,M1,W
260,-122.317886515,47.71077095,2014,10,L1,N
261,-122.337870639,47.60647838,2014,10,M1,W
262,-122.330510332,47.60188591,2014,10,K3,W
263,-122.33452432,47.70233163,2014,10,N3,N
264,-122.290592099,47.69500521,2014,10,U3,N
265,-122.331983505,47.60171871,2014,10,K2,W
266,-122.336229324,47.60971758,2014,10,M3,W
267,-122.336229324,47.60971758,2014,10,M3,W
268,-122.320882286,47.6204918,2014,10,E1,E
269,-122.339358065,47.60978173,2014,10,M3,W
270,-122.337792916,47.60974973,2014,10,M3,W
271,-122.340367248,47.61004628,2014,10,M1,W
272,-122.331214864,47.60087849,2014,10,K2,W
273,-122.298150715,47.57835005,2014,10,R2,S
274,-122.32023137,47.59582783,2014,10,K3,W
275,-122.338449515,47.60878866,2014,10,M3,W
276,-122.315043424,47.70308548,2014,10,L2,N
277,-122.339358064,47.60978174,2014,9,M3,W
278,-122.320771381,47.61351951,2014,9,E2,E
279,-122.343493771,47.61393611,2014,9,D1,W
280,-122.3058274,47.5884106,2014,9,R2,S
281,-122.331312959,47.60872917,2014,9,M3,W
282,-122.338247298,47.6102463,2014,9,M3,W
283,-122.337238165,47.60998189,2014,9,M3,W
284,-122.339256992,47.61051065,2014,9,M1,W
285,-122.342402599,47.6121175,2014,9,M1,W
286,-122.33452432,47.70233163,2014,9,N3,N
287,-122.338348304,47.60951744,2014,9,M3,W
288,-122.341752608,47.61173309,2014,9,M1,W
289,-122.358191715,47.51736236,2014,9,F2,SW
290,-122.327325474,47.5923966,2014,9,K2,W
291,-122.326570979,47.61941797,2014,9,E1,E
292,-122.342163009,47.60817175,2014,9,M1,W
293,-122.323408504,47.61465057,2014,9,E2,E
294,-122.292332256,47.6195184,2014,9,C3,E
295,-122.338348304,47.60951744,2014,9,M3,W
296,-122.303284941,47.59927453,2014,9,G3,E
297,-122.320025588,47.6158308,2014,9,E2,E
298,-122.368002387,47.65358616,2014,9,Q2,W
299,-122.313533302,47.69944271,2014,9,L2,N
300,-122.320872893,47.61990775,2014,9,E1,E
301,-122.337938767,47.61416919,2014,9,M2,W
302,-122.339812453,47.61027832,2014,9,M1,W
303,-122.275322758,47.52331187,2014,9,S2,S
304,-122.307191041,47.66486034,2014,9,U1,N
305,-122.328357599,47.63898749,2014,9,D3,W
306,-122.343262291,47.61145275,2014,9,M1,W
307,-122.343262291,47.61145275,2014,9,M1,W
308,-122.335928546,47.61190423,2014,9,M2,W
309,-122.338348306,47.60951744,2014,9,M3,W
310,-122.338903689,47.60928514,2014,9,M1,W
312,-122.339256996,47.61051065,2014,9,M1,W
313,-122.280632406,47.53438955,2014,9,S2,S
314,-122.31879387,47.6140898,2014,9,E2,E
315,-122.31879387,47.6140898,2014,9,E2,E
316,-122.40650066,47.65921111,2014,9,Q1,W
317,-122.355400414,47.62501526,2014,9,Q3,W
318,-122.320789512,47.61465549,2014,9,E2,E
319,-122.320882286,47.6204918,2014,9,E1,E
320,-122.320882286,47.6204918,2014,9,E1,E
321,-122.343471786,47.61040368,2014,9,M1,W
322,-122.343262296,47.61145276,2014,9,M1,W
323,-122.329048253,47.58878256,2014,9,O1,S
324,-122.344896093,47.71717447,2014,9,N2,N
325,-122.368723364,47.69834938,2014,9,J1,N
326,-122.327028635,47.5273324,2014,9,F3,SW
327,-122.327028635,47.5273324,2014,9,F3,SW
328,-122.327028635,47.5273324,2014,9,F3,SW
329,-122.340892454,47.61239802,2014,9,M2,W
330,-122.339358064,47.60978174,2014,9,M3,W
331,-122.339358064,47.60978174,2014,9,M3,W
332,-122.331082199,47.60241242,2014,9,K2,W
333,-122.330510332,47.60188591,2014,9,K3,W
334,-122.330510332,47.60188591,2014,9,K3,W
335,-122.340128232,47.61062345,2014,9,M1,W
336,-122.319446788,47.61408516,2014,9,E2,E
337,-122.323121347,47.67671818,2014,9,J3,N
338,-122.260962192,47.50132718,2014,9,S3,S
339,-122.335928546,47.61190423,2014,9,M2,W
340,-122.335928546,47.61190423,2014,9,M2,W
341,-122.335928546,47.61190423,2014,9,M2,W
342,-122.344526216,47.69092488,2014,9,N3,N
343,-122.343891092,47.60857252,2014,9,M1,W
344,-122.355709521,47.53368182,2014,9,F1,SW
345,-122.337320423,47.61132124,2014,9,M2,W
346,-122.331082199,47.60241242,2014,9,K2,W
347,-122.310803284,47.6164444,2014,9,C1,E
348,-122.310803284,47.6164444,2014,9,C1,E
349,-122.337320423,47.61132124,2014,9,M3,W
350,-122.338348304,47.60951744,2014,9,M3,W
351,-122.340216139,47.60736381,2014,9,M1,W
352,-122.331312959,47.60872917,2014,9,M3,W
353,-122.328513722,47.70227193,2014,9,L2,N
354,-122.320771381,47.61351951,2014,9,E2,E
355,-122.320771381,47.61351951,2014,9,E2,E
356,-122.314668434,47.58636713,2014,9,R1,S
357,-122.340367245,47.61004628,2014,9,M1,W
358,-122.37658199,47.53830682,2014,8,W3,SW
359,-122.340452133,47.61096395,2014,8,M1,W
360,-122.318150194,47.61467441,2014,8,E2,E
361,-122.334183169,47.6004783,2014,8,K2,W
362,-122.318168851,47.6158384,2014,8,E2,E
363,-122.319548534,47.6205013,2014,8,E1,E
364,-122.330510332,47.60188591,2014,8,K3,W
365,-122.330510332,47.60188591,2014,8,K3,W
366,-122.330264792,47.60171616,2014,8,K3,W
367,-122.319031216,47.60794735,2014,8,G1,E
368,-122.360647535,47.69062539,2014,8,J1,N
369,-122.330510332,47.60188591,2014,8,K2,W
370,-122.340022024,47.61129654,2014,8,M1,W
371,-122.372180162,47.66365981,2014,8,B2,N
372,-122.358019682,47.69422782,2014,8,J1,N
373,-122.344996828,47.72503555,2014,8,N2,N
374,-122.293751055,47.53891249,2014,8,S1,S
375,-122.318168851,47.6158384,2014,8,E2,E
376,-122.408988582,47.56751935,2014,8,W2,SW
377,-122.326360518,47.59919276,2014,8,K3,W
378,-122.373587603,47.66905321,2014,8,B2,N
379,-122.330510332,47.60188591,2014,8,K3,W
380,-122.356615683,47.63000558,2014,8,Q2,W
381,-122.346702117,47.51822835,2014,8,F3,SW
382,-122.29238776,47.54071801,2014,8,S1,S
383,-122.331082199,47.60241242,2014,8,K2,W
385,-122.384969989,47.58604033,2014,8,W1,SW
386,-122.337238169,47.60998189,2014,8,M3,W
387,-122.318168851,47.6158384,2014,8,E2,E
388,-122.336434095,47.66173535,2014,8,B3,N
389,-122.270580248,47.53827711,2014,8,S2,S
390,-122.37617329,47.64385664,2014,8,Q2,W
391,-122.322241462,47.53963322,2014,8,O3,S
392,-122.322241462,47.53963322,2014,8,O3,S
393,-122.378152947,47.66867106,2014,8,B1,N
394,-122.378152947,47.66867106,2014,8,B1,N
395,-122.378152947,47.66867106,2014,8,B1,N
396,-122.378152947,47.66867106,2014,8,B1,N
397,-122.330510332,47.60188591,2014,8,K3,W
398,-122.313149,47.66053224,2014,8,U2,N
399,-122.33778754,47.60306059,2014,8,K1,W
400,-122.316616956,47.65983651,2014,8,U2,N
401,-122.336884599,47.60875623,2014,8,M3,W
402,-122.306160846,47.61627084,2014,8,C3,E
403,-122.346637799,47.61696696,2014,8,D2,W
404,-122.346637799,47.61696696,2014,8,D2,W
405,-122.323127225,47.70132479,2014,8,L2,N
406,-122.323127225,47.70132479,2014,8,L2,N
407,-122.35328545,47.69241233,2014,8,J1,N
408,-122.342163009,47.60817175,2014,8,M1,W
409,-122.318168851,47.6158384,2014,8,E2,E
410,-122.323208567,47.70629142,2014,8,L2,N
411,-122.337238165,47.60998189,2014,8,M3,W
412,-122.266672609,47.53277083,2014,8,R3,S
413,-122.339358065,47.60978173,2014,8,M3,W
414,-122.339358065,47.60978173,2014,8,M3,W
415,-122.337238169,47.60998189,2014,8,M3,W
416,-122.283915434,47.54245797,2014,8,S2,S
417,-122.327666994,47.59919493,2014,8,K3,W
418,-122.312546487,47.62854982,2014,8,C1,E
419,-122.312546487,47.62854982,2014,8,C1,E
420,-122.333387671,47.61851451,2014,8,D3,W
421,-122.357311947,47.69060653,2014,8,J1,N
422,-122.321735005,47.5991846,2014,8,K3,W
423,-122.328642744,47.64319264,2014,8,D3,W
424,-122.335688614,47.60004632,2014,8,K2,W
425,-122.294396526,47.57343082,2014,8,R2,S
426,-122.303870386,47.59305764,2014,8,G3,E
427,-122.337320423,47.61132124,2014,8,M3,W
428,-122.336683423,47.61021404,2014,8,M3,W
429,-122.345977592,47.64864285,2014,8,B3,N
430,-122.312793621,47.61222961,2014,8,C3,E
431,-122.312773497,47.61411263,2014,8,E2,E
432,-122.318168851,47.6158384,2014,8,E2,E
433,-122.318168851,47.6158384,2014,8,E2,E
434,-122.374905431,47.66570296,2014,8,B1,N
435,-122.40866396,47.57977706,2014,8,W1,SW
436,-122.340892454,47.61239802,2014,7,M2,W
437,-122.301135423,47.59962887,2014,7,G3,E
438,-122.328513722,47.70227193,2014,7,L2,N
439,-122.328513722,47.70227193,2014,7,L2,N
440,-122.344793514,47.61470458,2014,7,D1,W
441,-122.322102199,47.61352655,2014,7,E2,E
442,-122.341102352,47.61134854,2014,7,M1,W
443,-122.353966794,47.6144783,2014,7,D1,W
444,-122.344674746,47.70342166,2014,7,N3,N
445,-122.344674746,47.70342166,2014,7,N3,N
446,-122.344760025,47.70905971,2014,7,N2,N
447,-122.321914834,47.59583136,2014,7,K3,W
448,-122.321914834,47.59583136,2014,7,K3,W
449,-122.331983505,47.60171871,2014,7,K2,W
450,-122.330510332,47.60188591,2014,7,K2,W
451,-122.322909032,47.54294056,2014,7,O3,S
452,-122.344560656,47.6938234,2014,7,N3,N
453,-122.262228098,47.67889074,2014,7,U3,N
454,-122.329450044,47.60901496,2014,7,E3,E
455,-122.340467725,47.6093176,2014,7,M1,W
456,-122.322663209,47.60494782,2014,7,G1,E
457,-122.345896422,47.69346517,2014,7,N3,N
458,-122.344852549,47.71477675,2014,7,N2,N
459,-122.344852549,47.71477675,2014,7,N2,N
460,-122.337238169,47.60998189,2014,7,M3,W
461,-122.337238169,47.60998189,2014,7,M3,W
462,-122.323746734,47.60002778,2014,7,K3,W
463,-122.323746734,47.60002778,2014,7,K3,W
464,-122.323746734,47.60002778,2014,7,K3,W
465,-122.336329922,47.60898867,2014,7,M3,W
466,-122.336329922,47.60898867,2014,7,M3,W
467,-122.339458558,47.60905306,2014,7,M1,W
468,-122.281736019,47.53796309,2014,7,S2,S
469,-122.281736019,47.53796309,2014,7,S2,S
470,-122.344946826,47.72048199,2014,7,N2,N
471,-122.338903689,47.60928514,2014,7,M1,W
472,-122.269391986,47.53158344,2014,7,S2,S
473,-122.334178593,47.60172234,2014,7,K2,W
474,-122.330203546,47.60919323,2014,7,E3,E
475,-122.346248363,47.6267157,2014,7,Q3,W
476,-122.341102347,47.61134853,2014,7,M1,W
477,-122.341102347,47.61134853,2014,7,M1,W
478,-122.341102347,47.61134853,2014,7,M1,W
479,-122.338348304,47.60951744,2014,7,M3,W
480,-122.343801294,47.60861588,2014,7,M1,W
481,-122.342163009,47.60817175,2014,7,M1,W
482,-122.343973827,47.73140097,2014,7,N2,N
483,-122.343973827,47.73140097,2014,7,N2,N
484,-122.343973827,47.73140097,2014,7,N2,N
485,-122.332875206,47.60130116,2014,7,K2,W
486,-122.302946658,47.58365857,2014,7,R1,S
487,-122.329534411,47.55526725,2014,7,O2,S
488,-122.333200197,47.60088199,2014,7,K2,W
489,-122.333200197,47.60088199,2014,7,K2,W
490,-122.33556401,47.72776255,2014,7,N2,N
491,-122.339358064,47.60978174,2014,7,M3,W
492,-122.328311128,47.60087439,2014,7,K3,W
493,-122.321445652,47.61407093,2014,7,E2,E
494,-122.334038709,47.60172211,2014,7,K1,W
495,-122.330342446,47.59999132,2014,7,K2,W
496,-122.335295373,47.61495252,2014,7,M2,W
497,-122.342601046,47.63632661,2014,7,D2,W
498,-122.329615324,47.60087628,2014,7,K3,W
499,-122.339358064,47.60978174,2014,7,M3,W
500,-122.339358065,47.60978173,2014,7,M3,W
501,-122.342163009,47.60817175,2014,7,M1,W
502,-122.338348306,47.60951744,2014,7,M3,W
503,-122.338348306,47.60951744,2014,7,M3,W
504,-122.308315128,47.59924291,2014,7,G2,E
505,-122.308315131,47.59924291,2014,7,G2,E
506,-122.343500192,47.63285877,2014,7,D2,W
507,-122.343500192,47.63285877,2014,7,D2,W
508,-122.331983505,47.60171871,2014,7,K2,W
509,-122.311554459,47.60618118,2014,7,G2,E
510,-122.300628005,47.57508408,2014,7,R1,S
511,-122.319520553,47.6187493,2014,7,E1,E
512,-122.331124146,47.60171758,2014,7,K2,W
513,-122.330510332,47.60188591,2014,7,K3,W
514,-122.30327263,47.59382071,2014,7,G3,E
515,-122.401802375,47.68924173,2014,7,J1,N
516,-122.333200197,47.60088199,2014,7,K2,W
517,-122.390451618,47.57566399,2014,7,W1,SW
518,-122.318168851,47.6158384,2014,7,E2,E
519,-122.338903689,47.60928514,2014,7,M1,W
520,-122.338903689,47.60928514,2014,7,M1,W
521,-122.338903689,47.60928514,2014,7,M1,W
522,-122.34453483,47.69164949,2014,7,N3,N
523,-122.34453483,47.69164949,2014,7,N3,N
524,-122.349942036,47.69311539,2014,7,N3,N
525,-122.342163009,47.60817175,2014,7,M1,W
526,-122.341762927,47.61349901,2014,7,D1,W
528,-122.339812453,47.61027832,2014,6,M1,W
529,-122.331392641,47.60107283,2014,6,K3,W
530,-122.332653342,47.7086545,2014,6,N3,N
531,-122.332653342,47.7086545,2014,6,N3,N
532,-122.332653342,47.7086545,2014,6,N3,N
533,-122.32447264299999,47.615225,2014,6,E3,E
534,-122.339358065,47.60978173,2014,6,M3,W
535,-122.339358065,47.60978173,2014,6,M3,W
536,-122.356104714,47.61860457,2014,6,Q3,W
537,-122.345653455,47.61403982,2014,6,D1,W
538,-122.339256992,47.61051065,2014,6,M1,W
539,-122.340630935,47.60872352,2014,6,M1,W
540,-122.340630935,47.60872352,2014,6,M1,W
541,-122.324615158,47.7086028,2014,6,L2,N
542,-122.331393297,47.60087888,2014,6,K2,W
543,-122.336683423,47.61021404,2014,6,M3,W
544,-122.343262296,47.61145276,2014,6,M1,W
545,-122.338247298,47.6102463,2014,6,M3,W
546,-122.33026811,47.60087712,2014,6,K3,W
547,-122.331776965,47.60149293,2014,6,K2,W
548,-122.322444693,47.59918613,2014,6,K3,W
549,-122.330510332,47.60188591,2014,6,K2,W
550,-122.394126336,47.58950271,2014,6,W1,SW
551,-122.31921545,47.59582498,2014,6,R1,S
552,-122.270432964,47.53764263,2014,6,S2,S
553,-122.270274019,47.53695788,2014,6,S2,S
554,-122.322007549,47.62313275,2014,6,E1,E
555,-122.322007549,47.62313275,2014,6,E1,E
556,-122.337320423,47.61132124,2014,6,M3,W
557,-122.322737668,47.57105249,2014,6,O2,S
558,-122.322737668,47.57105249,2014,6,O2,S
559,-122.322737668,47.57105249,2014,6,O2,S
560,-122.331312959,47.60872917,2014,6,M3,W
561,-122.294155627,47.56668347,2014,6,R2,S
562,-122.323746734,47.60002778,2014,6,K3,W
